type,term_id,name,slug,parent,normalized_name
category,2063,Pantheon: Rise of the Fallen,pantheon-rise-of-the-fallen,mmos,Pantheon: Rise of the Fallen
category,1768,Path of Exile,path-of-exile,mmos,Pillars of Eternity
category,1550,Pawnbarian,pawnbarian,other-games,Planet of the Corvids
category,1828,Petalica Paint,petalica-paint,,Partial Pressure
category,435,Pi Story,pi-story-mmos,mmos,Persona 5 Strikers
category,436,Pillars of Eternity,pillars-of-eternity,other-games,Pillars of Eternity
category,437,Pirate101,pirate101,mmos,Planet of the Corvids
category,438,Pirates of the Burning Sea,potbs,mmos,Pirates of the Burning Sea
category,1910,Pokemon,pokemon,,Planet of the Corvids
category,439,Project Powder,project-powder-other-games,other-games,Partial Pressure
category,1942,Project: Gorgon,project-gorgon,mmos,Prehistoric Games
category,1552,PS2,ps2,,Planet of the Corvids
category,1944,PS3,ps3,,Planet of the Corvids
category,56,ps4,ps4,,Planet of the Corvids
category,139,PS4,ps4,,Planet of the Corvids
category,283,PS5,ps5,,Planet of the Corvids
category,288,ps5,ps5,,Planet of the Corvids
category,440,Puyo Puyo,puyo-puyo,other-games,Partial Pressure
category,326,Puzzle Games,puzzle-games,,Prehistoric Games
category,321,Quick Takes,quick-takes,,Quick Takes
category,379,real life,real-life,,Return of the Light
category,141,Real Life,real-life,,Return of the Light
category,257,Real Time Strategy,real-time-strategy,,Return of the Light
category,441,Realm of the Mad God,realm-of-the-mad-god,mmos,Realm of the Mad God
category,442,Recettear,recettear,other-games,Return of the Light
category,443,Redshirt,redshirt,other-games,Return of the Light
category,396,return to dark tower,return-to-dark-tower,,Return to Dark Tower
category,1801,Review,review,general,Return of the Light
category,315,Rhythm Games,rhythm-games,,Rhythm Games
category,345,rift,rift,,Return of the Light
category,444,Rift,rift,mmos,Return of the Light
category,445,Rock Band,rock-band-other-games,other-games,Richard Bach
category,266,Rogue-likes,rogue-likes,,Return of the Light
category,446,Roll20,roll20,kickstarter,Return of the Light
category,447,Runes of Magic,runes-of-magic-mmos,mmos,Ramiele Mercado
category,1601,Salt and Sanctuary,salt-and-sanctuary,other-games,Sentinels of Stormreach
category,448,Sci Fi,sci-fi,general,Straight Talk Warhammer
category,102,Scythe,scythe,,Straight Talk Warhammer
category,449,Second Life,second-life,mmos,Second Life
category,89,set a watch,set-a-watch,,Straight Talk Warhammer
category,450,Shin Megami Tensei,shin-megami-tensei,mmos,Shin Megami Tensei
category,451,Shin Megami Tensei: Imagine,shin-megami-tensei-imagine,mmos,Shin Megami Tensei: Imagine
category,1498,Ship of Heroes,ship-of-heroes,mmos,Supernatural Horror
category,380,ship of heroes,ship-of-heroes,,Supernatural Horror
category,330,Shooter,shooter,,Straight Talk Warhammer
category,331,Shooter,shooter,,Straight Talk Warhammer
category,354,shroud of the avatar,shroud-of-the-avatar,,Seasoned Adventurer
category,452,Shroud of the Avatar,shroud-of-the-avatar,mmos,Seasoned Adventurer
category,453,SimCity 2013,simcity-2013,mmos,Straight Talk Warhammer
category,454,SimCity 3,simcity-3,mmos,Straight Talk Warhammer
category,1883,Skyrim,skyrim,other-games,Straight Talk Warhammer
category,1817,Souls-like,souls-like,,Second Life
category,1285,Spore,spore,,Straight Talk Warhammer
category,455,Spore,spore,other-games,Straight Talk Warhammer
category,1935,Star Citizen,star-citizen,mmos,Swords of the Coin
category,456,Star Command Galaxies,star-command-galaxies,other-games,Star Command Galaxies
category,457,Star Corsairs,star-corsairs,mmos,Swords of the Coin
category,458,Star Trek Online,star-trek-online,mmos,Star Trek Online
category,339,star trek online,star-trek-online,,Star Trek Online
category,459,Star Wars The Old Republic,star-wars-the-old-republic,mmos,Star Wars: the Old Republic
category,362,star wars: the old republic,star-wars-the-old-republic,,Star Wars: the Old Republic
category,2038,Starfield,starfield,other-games,Straight Talk Warhammer
category,2339,Stars Reach,stars-reach,mmos,Stars Reach
category,2129,Starship Simulator,starship-simulator,kickstarter,Sentinels of Stormreach
category,142,Steam Games,steam-games,,Security Guards
category,460,Stout Henry,stout-henry-humor-general,humor,Supernatural Horror
category,1307,Straight Talk Warhammer,straight-talk-warhammer,,Straight Talk Warhammer
category,251,Super Nintendo,super-nintendo,,The Secret Number 14
category,332,Survival,survival,,Straight Talk Warhammer
