type,term_id,name,slug,parent,normalized_name
category,438,Pirates of the Burning Sea,potbs,mmos,Pirates of the Burning Sea
category,1910,Pokemon,pokemon,,Pokemon
category,439,Project Powder,project-powder-other-games,other-games,Project Powder
category,1942,Project: Gorgon,project-gorgon,mmos,Project: Gorgon
category,1552,PS2,ps2,,PS2
category,1944,PS3,ps3,,PS3
category,56,ps4,ps4,,PS4
category,139,PS4,ps4,,PS4
category,283,PS5,ps5,,PS5
category,288,ps5,ps5,,PS5
category,440,Puyo Puyo,puyo-puyo,other-games,Puyo Puyo
category,326,Puzzle Games,puzzle-games,,Puzzle Games
category,321,Quick Takes,quick-takes,,Quick Takes
category,379,real life,real-life,,Real Life
category,141,Real Life,real-life,,Real Life
category,257,Real Time Strategy,real-time-strategy,,Real Time Strategy
category,441,Realm of the Mad God,realm-of-the-mad-god,mmos,Realm of the Mad God
category,442,Recettear,recettear,other-games,Recettear
category,443,Redshirt,redshirt,other-games,Redshirt
category,396,return to dark tower,return-to-dark-tower,,Return to Dark Tower
category,1801,Review,review,general,Review
category,315,Rhythm Games,rhythm-games,,Rhythm Games
category,345,rift,rift,,Rift
category,444,Rift,rift,mmos,Rift
category,445,Rock Band,rock-band-other-games,other-games,Rock Band
category,266,Rogue-likes,rogue-likes,,Rogue-Likes
category,446,Roll20,roll20,kickstarter,Roll20
category,447,Runes of Magic,runes-of-magic-mmos,mmos,Runes of Magic
category,1601,Salt and Sanctuary,salt-and-sanctuary,other-games,Salt and Sanctuary
category,448,Sci Fi,sci-fi,general,Sci Fi
category,102,Scythe,scythe,,Scythe
category,449,Second Life,second-life,mmos,Second Life
category,89,set a watch,set-a-watch,,Set a Watch
category,450,Shin Megami Tensei,shin-megami-tensei,mmos,Shin Megami Tensei
category,451,Shin Megami Tensei: Imagine,shin-megami-tensei-imagine,mmos,Shin Megami Tensei
category,1498,Ship of Heroes,ship-of-heroes,mmos,Ship of Heroes
category,380,ship of heroes,ship-of-heroes,,Ship of Heroes
category,330,Shooter,shooter,,Shooter
category,354,shroud of the avatar,shroud-of-the-avatar,,Shroud of the Avatar
category,452,Shroud of the Avatar,shroud-of-the-avatar,mmos,Shroud of the Avatar
category,453,SimCity 2013,simcity-2013,mmos,Simcity 2013
category,454,SimCity 3,simcity-3,mmos,Simcity 3
category,1883,Skyrim,skyrim,other-games,Skyrim
category,1817,Souls-like,souls-like,,Souls-Like
category,1285,Spore,spore,,Spore
category,455,Spore,spore,other-games,Spore
category,1935,Star Citizen,star-citizen,mmos,Star Citizen
category,456,Star Command Galaxies,star-command-galaxies,other-games,Star Command Galaxies
category,457,Star Corsairs,star-corsairs,mmos,Star Corsairs
category,458,Star Trek Online,star-trek-online,mmos,Star Trek
category,339,star trek online,star-trek-online,,Star Trek
category,459,Star Wars The Old Republic,star-wars-the-old-republic,mmos,Star Wars the Old Republic
category,362,star wars: the old republic,star-wars-the-old-republic,,Star Wars: the Old Republic
category,2038,Starfield,starfield,other-games,Starfield
category,2339,Stars Reach,stars-reach,mmos,Stars Reach
category,2129,Starship Simulator,starship-simulator,kickstarter,Starship Simulator
category,142,Steam Games,steam-games,,Steam Games
category,460,Stout Henry,stout-henry-humor-general,humor,Stout Henry
category,1307,Straight Talk Warhammer,straight-talk-warhammer,,Straight Talk Warhammer
category,251,Super Nintendo,super-nintendo,,Super Nintendo
category,332,Survival,survival,,Survival
category,334,survival,survival,,Survival
category,4,Switch,switch,,Switch
category,1906,Sword Art Online Fatal Bullet,sword-art-online-fatal-bullet,other-games,Sword Art Online Fatal Bullet
category,461,Sword Coast Legends,sword-coast-legends,mmos,Sword Coast Legends
category,2421,Sword Hero,sword-hero,other-games,Sword Hero
category,146,Tabletop Games,tabletop-games,,Tabletop Games
category,462,Tabula Rasa,tabula-rasa,mmos,Tabula Rasa
category,307,Tactical RPG,tactical-rpg,,Tactical RPG
category,1523,Tales from the Loop,tales-from-the-loop,tabletop-games,Tales From the Loop
category,1481,Tales from the Loop,tales-from-the-loop,,Tales From the Loop
category,1500,Terra Randoma,terra-randoma,other-games,Terra Randoma
category,1518,Terraforming Mars,terraforming-mars,tabletop-games,Terraforming Mars
category,110,terraforming mars,terraforming-mars,,Terraforming Mars
category,1507,The Elder Scrolls Online,the-elder-scrolls-online,mmos,The Elder Scrolls Online
category,1570,The Loot Project,the-loot-project,blockchain,The Loot Project
