type,term_id,name,slug,parent
category,1883,Skyrim,skyrim,other-games
category,1817,Souls-like,souls-like,
category,1285,Spore,spore,
category,455,Spore,spore,other-games
category,1935,Star Citizen,star-citizen,mmos
category,456,Star Command Galaxies,star-command-galaxies,other-games
category,457,Star Corsairs,star-corsairs,mmos
category,458,Star Trek Online,star-trek-online,mmos
category,339,star trek online,star-trek-online,
category,459,Star Wars The Old Republic,star-wars-the-old-republic,mmos
category,362,star wars: the old republic,star-wars-the-old-republic,
category,2038,Starfield,starfield,other-games
category,2339,Stars Reach,stars-reach,mmos
category,2129,Starship Simulator,starship-simulator,kickstarter
category,142,Steam Games,steam-games,
category,460,Stout Henry,stout-henry-humor-general,humor
category,1307,Straight Talk Warhammer,straight-talk-warhammer,
category,251,Super Nintendo,super-nintendo,
category,332,Survival,survival,
category,334,survival,survival,
category,4,Switch,switch,
category,1906,Sword Art Online Fatal Bullet,sword-art-online-fatal-bullet,other-games
category,461,Sword Coast Legends,sword-coast-legends,mmos
category,2421,Sword Hero,sword-hero,other-games
category,146,Tabletop Games,tabletop-games,
category,462,Tabula Rasa,tabula-rasa,mmos
category,307,Tactical RPG,tactical-rpg,
category,1523,Tales from the Loop,tales-from-the-loop,tabletop-games
category,1481,Tales from the Loop,tales-from-the-loop,
category,1500,Terra Randoma,terra-randoma,other-games
category,1518,Terraforming Mars,terraforming-mars,tabletop-games
category,110,terraforming mars,terraforming-mars,
category,1507,The Elder Scrolls Online,the-elder-scrolls-online,mmos
category,1570,The Loot Project,the-loot-project,blockchain
category,1941,The Secret World,the-secret-world,mmos
category,2134,THE400 Mini,the400-mini,
category,463,TinyGame2010,tinygame2010,other-games
category,464,TIS-100,tis-100,other-games
category,16,TIS-100,tis-100,
category,465,Torchlight,torchlight,other-games
category,12,torchlight,torchlight,
category,466,Torchlight 2,torchlight-2,other-games
category,390,townscaper,townscaper,
category,467,Treasure Abyss,treasure-abyss,facebook-games
category,410,Trends,trends,
category,1734,Turn-based RPGs,turn-based-rpgs,trends
category,468,TV Recaps,tv-recaps,general
category,1940,Ultima Online,ultima-online,mmos
category,1,Uncategorized,uncategorized,
category,1546,Unexplored 2,unexplored-2,other-games
category,1620,V Rising,v-rising,
category,1509,Valheim,valheim,other-games
category,333,valheim,valheim,
category,469,Valkyria Chronicles,valkyria-chronicles,other-games
category,2114,Vandal Hearts,vandal-hearts,other-games
category,470,Vanguard,vanguard,mmos
category,169,vanguard,vanguard,
category,2110,Vectrex,vectrex,
category,411,Video Game,video-game,trends
category,1795,Video game console,video-game-console,trends
category,412,Video Game Series,video-game-series,trends
category,302,Visual Novel,visual-novel,
category,233,visual novel,visual-novel,
category,471,Warhammer: Age of Reckoning,war,mmos
category,1417,Warhammer: Age of Reckoning,war,
category,1418,Warhammer: Age of Reckoning,warhammer-age-of-reckoning,
category,149,Web Games,web-games,
category,472,Web Logging,web-logging,
category,335,Whatcha Playing?,whatcha-playing,
category,1945,White Knight Chronicles,white-knight-chronicles,other-games
category,1605,Wildermyth,wildermyth,tactical-rpg
category,473,Wizard 101,wizard101-mmos,mmos
category,474,Wizardry Online,wizardry-online,mmos
category,475,World of Warcraft,world-of-warcraft,mmos
category,69,world of warcraft,world-of-warcraft,
category,476,World of Warships,world-of-warships,mmos
category,9,world of warships,world-of-warships,
category,1689,Zombie games,zombie-games,trends
category,1714,2D platformer games,2d-platformer-games,trends
category,1688,2D platformers,2d-platformers,trends
category,477,7DRL,7drl,other-games
category,478,7SRL,7srl,other-games
category,1680,Action Adventure games,action-adventure-games,trends
category,1583,Advent of Code,advent-of-code,general
category,479,Adventures in Monopoly,adventures-in-monopoly,humor
category,480,AdventureVille,adventureville,facebook-games
category,1810,Advertising,advertising,general
category,481,Age of Conan,aoc,mmos
category,482,Aion,aion,mmos
category,483,Allods Online,allods-online,mmos
category,413,Arcade Game,arcade-game,trends
category,1820,Ark Survival Evolved,ark-survival-evolved,survival
category,484,Armikrog,armikrog,other-games
category,1525,Artisans of Splendent Vale,artisans-of-splendent-vale,tabletop-games
category,2058,Avalon,avalon,blockchain
category,1544,Axie Infinity,axie-infinity,browser-game
category,485,Ballpoint Universe,ballpoint-universe,kickstarter
category,1736,Bandai Wonderswan,bandai-wonderswan,trends
category,1674,Basketball,basketball,trends
category,486,Battle of the Immortals,battle-of-the-immortals,mmos
category,487,Battlestar Galactica,battlestar-galactica,sci-fi
category,488,Besiege,besiege,other-games
category,2156,Beyond Shadowgate,beyond-shadowgate,kickstarter
category,1937,Black Desert Online,black-desert-online,mmos
category,489,Black Prophecy,black-prophecy,mmos
category,1520,Car Wars,car-wars,tabletop-games
category,490,Castle Story,castle-story,other-games
category,1699,Cats,cats,trends
category,491,Champions Online,champions,mmos
category,492,Chess the MMO,chess-the-mmo,mmos
category,493,Chronicles of Spellborn,chronicles-of-spellborn,mmos
category,494,Cities XL,cities-xl,mmos
category,495,City of Heroes,city-of-heroes,mmos
category,496,Clone Wars Adventures,clone-wars-adventures,other-games
category,497,Code Hero,code-hero,other-games
category,498,College-Ruled Universe,college-ruled-universe,kickstarter
category,499,Comics,comics,humor
category,1474,Console game,console-game,trends
category,500,Crayon Chronicles,crayon-chronicles,kickstarter
category,501,Crayon Physics Deluxe,crayon-physics-deluxe,other-games
category,502,Crypt of the NecroDancer,crypt-of-the-necrodancer,other-games
category,1907,Cyberpunk 2077,cyberpunk-2077,other-games
category,503,D&amp;D 4E,dd-4e,other-games
category,504,Daily Blogroll,weblog,mmos
category,505,Dark Ages of Camelot,dark-ages-of-camelot,mmos
category,506,Darkfall,darkfall-mmos,mmos
category,507,DC Universe Online,dc-universe-online,mmos
category,508,Diablo 3,diablo-3-other-games,other-games
category,1739,Dinosaur games,dinosaur-games,trends
category,509,Divinity II -- Dragon Knight Saga,divinity-ii-dragon-knight-saga,other-games
category,510,Doctor Who,doctor-who,sci-fi
category,511,Doctor Who Adventures,doctor-who-adventures,other-games
category,512,Dragon Age Legends,dragon-age-legends,facebook-games
category,513,Dragon Age Origins,dragon-age-origins,other-games
category,514,Dragon Nest,dragon-nest,mmos
category,2107,Dragon's Dogma,dragons-dogma,other-games
category,515,Dragonica Online,dragonica-online,mmos
category,516,Dream of Mirror Online,domo,mmos
category,2391,Dune Awakening,dune-awakening,mmos
category,2208,Dungeon Crawl Classics,dungeon-crawl-classics,tabletop-games
category,1529,Dungeon Encounters,dungeon-encounters,other-games
category,517,Dungeon Siege,ds,other-games
category,518,Dungeons &amp; Dragons Online,dungeons-dragons-online,mmos
category,519,Earth Eternal,earth-eternal,mmos
category,520,Earthrise,earthrise,mmos
